geo_code,country,size_class,year,n_enterprises,persons_employed,productivity_kEUR,avg_size
FR,France,0-9,2020,2923454.0,3752118.0,46.1,1.3
FR,France,10-19,2020,89487.0,1183834.0,49.0,13.2
FR,France,20-49,2020,45331.0,1366946.0,53.3,30.2
FR,France,50-249,2020,20879.0,2094463.0,59.3,100.3
FR,France,GE250,2020,4897.0,7838180.0,69.0,1600.6
FR,France,TOTAL,2020,3084048.0,16235541.0,59.7,5.3
DE,Germany,0-9,2020,2097898.0,5563281.0,44.6,2.7
DE,Germany,10-19,2020,214917.0,2898182.0,44.6,13.5
DE,Germany,20-49,2020,111188.0,3335675.0,53.0,30.0
DE,Germany,50-249,2020,50930.0,4963006.0,60.3,97.4
DE,Germany,GE250,2020,10870.0,12670634.0,76.2,1165.7
DE,Germany,TOTAL,2020,2485804.0,29430780.0,61.8,11.8
IT,Italy,0-9,2020,3449178.0,6332635.0,27.6,1.8
IT,Italy,10-19,2020,119094.0,1561813.0,41.2,13.1
IT,Italy,20-49,2020,48164.0,1430806.0,51.2,29.7
IT,Italy,50-249,2020,20406.0,1981130.0,64.1,97.1
IT,Italy,GE250,2020,3647.0,3608110.0,69.9,989.3
IT,Italy,TOTAL,2020,3640489.0,14914494.0,46.4,4.1
ES,Spain,0-9,2020,2535776.0,4434329.0,25.5,1.7
ES,Spain,10-19,2020,84704.0,1114205.0,35.7,13.2
ES,Spain,20-49,2020,43179.0,1289989.0,41.4,29.9
ES,Spain,50-249,2020,16543.0,1638502.0,49.9,99.0
ES,Spain,GE250,2020,3584.0,4033228.0,51.7,1125.3
ES,Spain,TOTAL,2020,2683786.0,12510252.0,39.7,4.7
